timestamp,Position Value,datetime
1714992900000.0,0.0019793594,2024-05-06 10:55:00
1714993200000.0,0.001985623,2024-05-06 11:00:00
1714993500000.0,0.001987008,2024-05-06 11:05:00
1714993800000.0,0.001992037,2024-05-06 11:10:00
1714994100000.0,0.0019865776,2024-05-06 11:15:00
1714994400000.0,0.0019822237,2024-05-06 11:20:00
1714994700000.0,0.0019839022,2024-05-06 11:25:00
1714995000000.0,0.0019849502,2024-05-06 11:30:00
1714995300000.0,0.001978372,2024-05-06 11:35:00
1714995600000.0,0.001980387,2024-05-06 11:40:00
1714995900000.0,0.0019840386,2024-05-06 11:45:00
1714996200000.0,0.00198307,2024-05-06 11:50:00
1714996500000.0,0.0019861003,2024-05-06 11:55:00
1714996800000.0,0.001988615,2024-05-06 12:00:00
1714997100000.0,0.0019866887,2024-05-06 12:05:00
1714997400000.0,0.00198227,2024-05-06 12:10:00
1714997700000.0,0.001977869,2024-05-06 12:15:00
1714998000000.0,0.001966986,2024-05-06 12:20:00
1714998300000.0,0.0019658,2024-05-06 12:25:00
1714998600000.0,0.001962604,2024-05-06 12:30:00
1714998900000.0,0.0019689917,2024-05-06 12:35:00
1714999200000.0,0.0019613793,2024-05-06 12:40:00
1714999500000.0,0.0019527882,2024-05-06 12:45:00
1714999800000.0,0.0019446118,2024-05-06 12:50:00
1715000100000.0,0.0019561895,2024-05-06 12:55:00
1715000400000.0,0.0019535385,2024-05-06 13:00:00
1715000700000.0,0.0019547176,2024-05-06 13:05:00
1715001000000.0,0.0019511762,2024-05-06 13:10:00
1715001300000.0,0.0019527633,2024-05-06 13:15:00
1715001600000.0,0.0019462045,2024-05-06 13:20:00
1715001900000.0,0.0019500112,2024-05-06 13:25:00
1715002200000.0,0.0019517418,2024-05-06 13:30:00
1715002500000.0,0.001955266,2024-05-06 13:35:00
1715002800000.0,0.0019621996,2024-05-06 13:40:00
1715003100000.0,0.001960814,2024-05-06 13:45:00
1715003400000.0,0.0019582377,2024-05-06 13:50:00
1715003700000.0,0.0019608093,2024-05-06 13:55:00
1715004000000.0,0.0019667258,2024-05-06 14:00:00
1715004300000.0,0.0019692807,2024-05-06 14:05:00
1715004600000.0,0.0019690667,2024-05-06 14:10:00
1715004900000.0,0.0019665922,2024-05-06 14:15:00
1715005200000.0,0.0019715207,2024-05-06 14:20:00
1715005500000.0,0.0019670266,2024-05-06 14:25:00
1715005800000.0,0.0019637006,2024-05-06 14:30:00
1715006100000.0,0.0019669447,2024-05-06 14:35:00
1715006400000.0,0.0019600028,2024-05-06 14:40:00
1715006700000.0,0.0019594335,2024-05-06 14:45:00
1715007000000.0,0.001959054,2024-05-06 14:50:00
1715007300000.0,0.001945688,2024-05-06 14:55:00
