timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28973478,0.9896373056994818,0.9896373056994818,0.9890886924718073,0.9896068271868332,253576.0,28973478,82309.27684,587,123506.0,40086.28029,0
28973479,0.9896068271868332,0.9907650106674795,0.9894849131362389,0.990643096616885,693858.0,28973479,225434.88549,1454,457074.0,148514.18601,0
28973480,0.990643096616885,0.9906735751295337,0.9890277354465102,0.9892715635476989,633751.0,28973480,205796.88786,834,323262.0,104950.77821,0
28973481,0.9893020420603474,0.9902468759524535,0.9891801280097531,0.9891801280097531,298707.0,28973481,96998.14859,483,225793.0,73319.33798,0
28973482,0.9891801280097531,0.9894239561109417,0.9888143858579701,0.988905821395916,771838.0,28973482,250461.12189,538,258213.0,83786.06472,0
28973483,0.988905821395916,0.988905821395916,0.9875038098140811,0.9886315147820786,1207768.0,28973483,391445.48079,662,412596.0,133747.05945,0
28973484,0.9886619932947273,0.9893934775982932,0.9886315147820786,0.9892715635476989,117526.0,28973484,38137.70962,438,83691.0,27157.41104,0
28973485,0.9892715635476989,0.9904907040536421,0.9891191709844559,0.9904907040536421,363483.0,28973485,118008.18543,757,167066.0,54244.08329,0
28973486,0.9904907040536421,0.9905211825662907,0.9898201767753734,0.9903078329777506,250064.0,28973486,81249.91136,684,207325.0,67363.37555,0
28973487,0.9903078329777506,0.9905516610789393,0.9903078329777506,0.9904907040536421,82320.0,28973487,26750.06498,291,59572.0,19357.41745,0
28973488,0.9905211825662907,0.9905211825662907,0.9897287412374277,0.9901859189271563,133266.0,28973488,43296.98561,453,26549.0,8623.43482,0
28973489,0.9901554404145078,0.9901554404145078,0.9897287412374277,0.9897287412374277,100429.0,28973489,32616.05085,324,65115.0,21147.37055,0
28973490,0.9897592197500761,0.9897592197500761,0.9890277354465102,0.9894544346235903,113685.0,28973490,36900.29976,405,55410.0,17985.0722,0
28973491,0.9894544346235903,0.9901249619018592,0.9894544346235903,0.9900944833892107,507639.0,28973491,164871.68827,626,145108.0,47126.18821,0
28973492,0.9900335263639135,0.9914050594330996,0.9900030478512648,0.991374580920451,402523.0,28973492,130869.65666,971,280257.0,91110.94821,0
28973493,0.991374580920451,0.9914050594330996,0.9908259676927765,0.9913136238951539,181110.0,28973493,58900.04198,540,77554.0,25219.94598,0
28973494,0.9912831453825053,0.9912831453825053,0.9898201767753734,0.9902163974398049,285921.0,28973494,92931.32903,560,124387.0,40431.67021,0
28973495,0.9902468759524535,0.9905211825662907,0.9894544346235903,0.9900030478512648,181542.0,28973495,58961.64142,657,76073.0,24709.03329,0
28973496,0.9900030478512648,0.9911307528192623,0.9900030478512648,0.9910697957939653,167558.0,28973496,54463.37849,691,90504.0,29414.77334,0
28973497,0.9910697957939653,0.9914050594330996,0.9895153916488876,0.9895153916488876,125224.0,28973497,40707.30782,759,47659.0,15497.79388,0
28973498,0.9895153916488876,0.9902163974398049,0.9894849131362389,0.9900030478512648,144292.0,28973498,46863.12973,579,113948.0,37006.82891,0
28973499,0.9900335263639135,0.9900944833892107,0.9894544346235903,0.9894544346235903,126636.0,28973499,41126.37865,527,56016.0,18193.2449,0
28973500,0.9894544346235903,0.9896373056994818,0.9894239561109417,0.9895763486741848,123977.0,28973500,40248.74428,228,76412.0,24806.84887,0
28973501,0.9896068271868332,0.9907954891801279,0.9895763486741848,0.9907040536421823,215736.0,28973501,70086.21905,340,119214.0,38737.91486,0
28973502,0.9907040536421823,0.9907040536421823,0.9891496494971045,0.9891496494971045,153508.0,28973502,49868.41605,480,39490.0,12830.93402,0
28973503,0.9891191709844559,0.9901554404145078,0.9891191709844559,0.9901249619018592,276090.0,28973503,89646.58003,548,267539.0,86869.67333,0
28973504,0.9901249619018592,0.9907650106674795,0.9901249619018592,0.9904907040536421,180038.0,28973504,58509.80373,490,132138.0,42942.08346,0
28973505,0.9904602255409936,0.9907345321548309,0.9890277354465102,0.9892715635476989,398061.0,28973505,129331.26689,599,253711.0,82426.06756,0
28973506,0.9892410850350504,0.989850655288022,0.9890582139591588,0.989698262724779,77415.0,28973506,25130.13235,476,38060.0,12355.32756,0
28973507,0.9896677842121304,0.989698262724779,0.9888753428832673,0.9888753428832673,213910.0,28973507,69421.56627,459,21785.0,7071.46047,0
28973508,0.988905821395916,0.9895153916488876,0.988905821395916,0.9892410850350504,117554.0,28973508,38154.36532,458,62418.0,20258.81362,0
28973509,0.9892410850350504,0.9897896982627247,0.9891496494971045,0.9896373056994818,101623.0,28973509,32991.01347,288,51623.0,16757.46691,0
28973510,0.9896068271868332,0.9906735751295337,0.9894544346235903,0.9906735751295337,143248.0,28973510,46528.18474,508,54868.0,17822.75127,0
28973511,0.9907040536421823,0.9910697957939653,0.9903078329777506,0.9910393172813167,48918.0,28973511,15900.04644,250,16734.0,5438.43436,0
28973512,0.9910393172813167,0.9916488875342883,0.9910393172813167,0.9914050594330996,113254.0,28973512,36835.98025,356,91538.0,29773.14847,0
28973513,0.9914355379457483,0.9914964949710454,0.9909478817433708,0.9910393172813167,284475.0,28973513,92503.93323,266,227434.0,73953.23151,0
28973514,0.9910088387686681,0.9910088387686681,0.9904602255409936,0.990582139591588,131816.0,28973514,42843.21536,221,39432.0,12816.50591,0
28973515,0.990582139591588,0.9908564462054251,0.9904907040536421,0.9907040536421823,34562.0,28973515,11233.78268,346,19766.0,6424.40197,0
28973516,0.9906735751295337,0.9910088387686681,0.990643096616885,0.9909174032307224,222946.0,28973516,72478.36907,269,151896.0,49379.91164,0
28973517,0.9908869247180738,0.9916488875342883,0.9908869247180738,0.9916488875342883,268183.0,28973517,87217.80667,435,210929.0,68600.75807,0
28973518,0.9916488875342883,0.9919841511734226,0.9914355379457483,0.9919536726607743,112102.0,28973518,36472.00344,418,46410.0,15099.91926,0
28973519,0.9919536726607743,0.9920451081987199,0.9916488875342883,0.991892715635477,95650.0,28973519,31128.76597,321,54842.0,17848.85802,0
28973520,0.9918622371228284,0.9918622371228284,0.9906126181042364,0.9912526668698568,162473.0,28973520,52829.93814,610,76959.0,25018.16738,0
28973521,0.9912221883572082,0.9921670222493142,0.9910088387686681,0.9912831453825053,141831.0,28973521,46149.17613,579,77117.0,25089.86986,0
28973522,0.9912831453825053,0.9914660164583967,0.9909478817433708,0.9911612313319109,33001.0,28973522,10732.7249,398,18921.0,6153.62006,0
28973523,0.9911307528192623,0.9920451081987199,0.9911307528192623,0.991892715635477,121369.0,28973523,39483.33528,366,79565.0,25879.24078,0
28973524,0.991892715635477,0.9931118561414204,0.9918012800975312,0.9922889362999087,249473.0,28973524,81234.45541,1330,158084.0,51471.38194,0
28973525,0.992319414812557,0.9925632429137459,0.9918317586101798,0.9920755867113685,90745.0,28973525,29540.69039,433,41887.0,13634.866,0
28973526,0.9921060652240171,0.9929899420908259,0.9920755867113685,0.9926851569643401,773086.0,28973526,251739.06112,1018,298151.0,97111.60407,0
28973527,0.9926851569643401,0.9930813776287717,0.9921365437366656,0.992319414812557,767045.0,28973527,249832.99978,616,567414.0,184827.12762,0
28973528,0.992319414812557,0.9929899420908259,0.9918012800975312,0.9927461139896373,107794.0,28973528,35094.35088,537,30276.0,9858.68575,0
28973529,0.9927156354769887,0.9927156354769887,0.992319414812557,0.9923498933252057,264788.0,28973529,86227.89072,443,23068.0,7511.45002,0
28973530,0.992319414812557,0.992624199939043,0.9914355379457483,0.9914355379457483,743395.0,28973530,242003.30516,699,18133.0,5901.67692,0
28973531,0.9914355379457483,0.9920146296860712,0.9911002743066138,0.9916793660469368,611697.0,28973531,199015.55426,652,576358.0,187520.9682,0
28973532,0.9916793660469368,0.9916793660469368,0.9911002743066138,0.9913136238951539,109409.0,28973532,35584.59285,350,61140.0,19885.58832,0
28973533,0.9913136238951539,0.9914050594330996,0.9910393172813167,0.9910697957939653,59248.0,28973533,19267.85046,245,35915.0,11679.70942,0
28973534,0.9910393172813167,0.9912526668698568,0.9898201767753734,0.989850655288022,523613.0,28973534,170157.77095,356,58639.0,19057.64321,0
28973535,0.9898201767753734,0.9904907040536421,0.989698262724779,0.989698262724779,377921.0,28973535,122760.59679,795,222196.0,72183.62834,0
28973536,0.989698262724779,0.9901859189271563,0.9895458701615362,0.9899420908259676,189710.0,28973536,61605.34371,448,18070.0,5868.57101,0
28973537,0.9899725693386162,0.9900335263639135,0.9887229503200244,0.9891801280097531,177349.0,28973537,57564.68852,750,78525.0,25481.09477,0
